Experiment date,Animal name,Experiment outcome,run_preproc,run_ephys,rec_types,unit2highlight,Current Status,"Data location (i.e. V2/Kraken, drive)",Computer,Drive,Day post-implant,Probe type (e.g. 64ch),Manipulation,Approx # single units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
9/21/20,J524LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,1,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, no IMU"
9/22/20,J524LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,2,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, no IMU"
9/23/20,J524LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,3,16ch,none,,,,,,,,,,,"old world cam, 3 top cams, no hf, no IMU"
9/25/20,J524LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,4,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, gounding testing, no IMU"
9/28/20,J524RT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,1,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
9/29/20,J524RT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,2,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
9/30/20,J524RT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,3,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/11/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,1,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/12/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,2,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/13/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,3,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/14/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,4,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
10/15/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,5,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
10/16/20,G6H28P6LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,6,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/19/20,G6H28P5LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,1,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/20/20,G6H28P5LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,2,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/21/20,G6H28P5LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,3,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/22/20,G6H28P5LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,4,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/29/20,G6H27P8LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,1,64ch,none,,,,,,,,,,,old arena setup (old monitor/walls/lighting)
11/30/20,G6H27P8LT,not useful,,,,,,\\langevin\backup\Phil\freely_moving_ephys,,,2,64ch,none,,,,,,,,,,,old arena setup (old monitor/walls/lighting)
