experiment_date,animal_name,experiment_outcome,run_preprocessing,run_ephys_analysis,load_for_data_pool,best_fm_rec,unit2highlight,current_status,animal_dirpath,computer,drive,day_post_implant,probe_type,manipulation,num_single_units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
9/21/20,J524LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092120\J524LT,goeppert,nlab-nas,1,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, no IMU"
9/22/20,J524LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092220\J524LT,goeppert,nlab-nas,2,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, no IMU"
9/23/20,J524LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092320\J524LT,goeppert,nlab-nas,3,16ch,none,,,,,,,,,,,"old world cam, 3 top cams, no hf, no IMU"
9/25/20,J524LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092520\J524LT,goeppert,nlab-nas,4,16ch,none,,,,,,,,,,,"no eye/world cam, 3 top cams, no hf, gounding testing, no IMU"
9/28/20,J524RT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092820\J524RT,goeppert,nlab-nas,1,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
9/29/20,J524RT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\092920\J524RT,goeppert,nlab-nas,2,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
9/30/20,J524RT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\093020\J524RT,goeppert,nlab-nas,3,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/11/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101120\G6H28P6LT,goeppert,nlab-nas,1,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/12/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101220\G6H28P6LT,goeppert,nlab-nas,2,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/13/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101320\G6H28P6LT,goeppert,nlab-nas,3,16ch,none,,,,,,,,,,,"old world cam, only hf_wn, no IMU"
10/14/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101420\G6H28P6LT,goeppert,nlab-nas,4,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
10/15/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101520\G6H28P6LT,goeppert,nlab-nas,5,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
10/16/20,G6H28P6LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\101620\G6H28P6LT,goeppert,nlab-nas,6,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/19/20,G6H28P5LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\111920\G6H28P5LT,goeppert,nlab-nas,1,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/20/20,G6H28P5LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\112020\G6H28P5LT,goeppert,nlab-nas,2,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/21/20,G6H28P5LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\112120\G6H28P5LT,goeppert,nlab-nas,3,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/22/20,G6H28P5LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\112220\G6H28P5LT,goeppert,nlab-nas,4,16ch,none,,,,,,,,,,,"only hf_wn, no IMU"
11/29/20,G6H27P8LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\112920\G6H27P8LT,goeppert,nlab-nas,1,64ch,none,,,,,,,,,,,old arena setup (old monitor/walls/lighting)
11/30/20,G6H27P8LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\113020\G6H27P8LT,goeppert,nlab-nas,2,64ch,none,,,,,,,,,,,old arena setup (old monitor/walls/lighting)
12/1/20,G6H27P8LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\120120\G6H27P8LT,goeppert,nlab-nas,3,64ch,none,,,,,,,,,,,old arena setup (old monitor/walls/lighting)
1/20/21,G6H30P3LN,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012021\G6H30P3LN,goeppert,nlab-nas,1,64ch,none,1,RF weak or too low and nasal,"low noise, maybe some IMU",very little drift (<5um),,,,,,,
1/22/21,G6H30P3LN,good,FALSE,FALSE,TRUE,,10,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012221\G6H30P3LN,goeppert,nlab-nas,3,64ch,none,9,RFs fairly low and corner of screen but maybe ok,low noise,very little drift (<5um),,,,,,,
1/25/21,EE8P6LT,good,FALSE,FALSE,TRUE,,14,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012521\EE8P6LT,goeppert,nlab-nas,1,64ch,none,10,RFs fairly low and corner of screen but maybe ok,low noise,very little drift (<5um),,,,,,,
1/25/21,G6H30P3TT,not useful,FALSE,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\012521\G6H30P3TT,goeppert,nlab-nas,1,16ch,none,1,no clear RFs,low nosie,very little drift,,,,,,,
